date,county,pm10_ugm3
2020-01-01,Fresno,35.75
2020-01-01,Kern,9.25
2020-01-01,Kings,29.0
2020-01-01,Madera,27.0
2020-01-01,San Joaquin,22.0
2020-01-01,Stanislaus,26.0
2020-01-01,Tulare,39.0
2020-01-02,Fresno,33.25
2020-01-02,Kern,10.0
2020-01-02,Kings,38.333333333333336
2020-01-02,Madera,28.0
2020-01-02,San Joaquin,19.0
2020-01-02,Stanislaus,26.0
2020-01-02,Tulare,34.0
2020-01-03,Fresno,31.25
2020-01-03,Kern,10.0
2020-01-03,Kings,30.333333333333332
2020-01-03,Madera,29.0
2020-01-03,San Joaquin,30.0
2020-01-03,Stanislaus,39.0
2020-01-03,Tulare,40.0
2020-01-04,Fresno,18.428571428571427
2020-01-04,Kern,19.0
2020-01-04,Kings,31.75
2020-01-04,Madera,20.0
2020-01-04,Merced,23.0
2020-01-04,San Joaquin,21.333333333333332
2020-01-04,Stanislaus,22.0
2020-01-04,Tulare,30.0
2020-01-05,Fresno,11.25
2020-01-05,Kern,7.5
2020-01-05,Kings,16.0
2020-01-05,Madera,12.0
2020-01-05,San Joaquin,6.0
2020-01-05,Stanislaus,8.0
2020-01-05,Tulare,18.0
2020-01-06,Fresno,24.0
2020-01-06,Kern,8.75
2020-01-06,Kings,19.666666666666668
2020-01-06,Madera,21.0
2020-01-06,San Joaquin,10.0
2020-01-06,Stanislaus,21.0
2020-01-06,Tulare,21.0
2020-01-07,Fresno,19.25
2020-01-07,Kern,11.0
2020-01-07,Kings,20.0
2020-01-07,Madera,19.0
2020-01-07,San Joaquin,20.0
2020-01-07,Stanislaus,20.0
2020-01-07,Tulare,20.0
2020-01-08,Fresno,15.0
2020-01-08,Kern,6.25
2020-01-08,Kings,19.666666666666668
2020-01-08,Madera,17.0
2020-01-08,San Joaquin,14.5
2020-01-08,Stanislaus,21.0
2020-01-08,Tulare,20.0
2020-01-09,Fresno,10.75
2020-01-09,Kern,6.75
2020-01-09,Kings,15.0
2020-01-09,Madera,11.0
2020-01-09,San Joaquin,8.0
2020-01-09,Stanislaus,10.0
2020-01-09,Tulare,16.0
2020-01-10,Fresno,15.857142857142858
2020-01-10,Kern,12.333333333333334
2020-01-10,Kings,15.25
2020-01-10,Madera,13.0
2020-01-10,San Joaquin,12.0
2020-01-10,Stanislaus,17.0
2020-01-11,Fresno,15.0
2020-01-11,Kern,9.75
2020-01-11,Kings,19.0
2020-01-11,Madera,16.0
2020-01-11,San Joaquin,11.0
2020-01-11,Stanislaus,14.0
