date,county,precip_mm,soil_moisture_m3m3,wind_speed_kmh,tmax_approx_c
2020-01-01,Fresno,0.0,0.2627916666666667,8.2,14.9
2020-01-02,Fresno,0.0,0.25225000000000003,11.2,13.8
2020-01-03,Fresno,0.0,0.25104166666666666,10.5,16.8
2020-01-04,Fresno,0.0,0.24325,11.7,17.3
2020-01-05,Fresno,0.0,0.233625,20.9,14.4
2020-01-06,Fresno,0.0,0.231375,9.2,12.2
2020-01-07,Fresno,0.0,0.22704166666666667,9.4,13.8
2020-01-08,Fresno,0.0,0.22754166666666667,17.2,12.6
2020-01-09,Fresno,3.3,0.2652083333333333,13.8,10.7
2020-01-10,Fresno,0.0,0.2900833333333333,10.8,10.2
2020-01-11,Fresno,0.0,0.28354166666666664,17.2,13.2
2020-01-12,Fresno,0.0,0.2685,13.0,11.5
2020-01-13,Fresno,0.0,0.25570833333333337,10.0,12.5
2020-01-14,Fresno,0.0,0.24308333333333332,15.9,12.1
2020-01-15,Fresno,0.0,0.23345833333333332,10.4,11.9
2020-01-16,Fresno,8.8,0.2545,29.2,15.0
2020-01-17,Fresno,0.3,0.31425,10.1,11.1
2020-01-18,Fresno,0.0,0.297,9.7,10.9
2020-01-19,Fresno,0.0,0.29104166666666664,10.0,12.4
2020-01-20,Fresno,0.3,0.2820833333333333,8.7,14.4
2020-01-21,Fresno,0.0,0.27575,9.0,16.4
2020-01-22,Fresno,0.2,0.270125,10.4,16.5
2020-01-23,Fresno,0.0,0.26345833333333335,6.9,14.9
2020-01-24,Fresno,0.0,0.257375,10.2,16.5
2020-01-25,Fresno,0.0,0.25125000000000003,9.2,15.6
2020-01-26,Fresno,1.7,0.26033333333333336,14.7,17.5
2020-01-27,Fresno,0.0,0.27395833333333336,12.7,16.4
2020-01-28,Fresno,0.0,0.25808333333333333,15.3,16.1
2020-01-29,Fresno,0.0,0.24862499999999998,13.0,13.1
2020-01-30,Fresno,0.0,0.24041666666666664,10.6,16.4
2020-01-31,Fresno,0.0,0.23129166666666667,10.4,18.0
2020-02-01,Fresno,0.0,0.22995833333333335,10.7,19.4
2020-02-02,Fresno,0.1,0.21695833333333334,22.9,16.0
2020-02-03,Fresno,0.0,0.20354166666666665,19.9,11.7
2020-02-04,Fresno,0.0,0.19616666666666668,10.5,11.9
2020-02-05,Fresno,0.0,0.18608333333333335,10.0,12.9
2020-02-06,Fresno,0.0,0.18025,9.4,15.4
2020-02-07,Fresno,0.0,0.16825,10.6,18.0
2020-02-08,Fresno,0.0,0.15883333333333335,12.4,18.9
2020-02-09,Fresno,0.0,0.14645833333333333,23.4,16.1
2020-02-10,Fresno,0.0,0.13641666666666666,19.3,18.5
2020-02-11,Fresno,0.0,0.131,11.3,19.6
2020-02-12,Fresno,0.0,0.13066666666666668,11.3,20.3
2020-02-13,Fresno,0.0,0.12745833333333334,10.2,20.8
2020-02-14,Fresno,0.0,0.122125,8.9,20.1
2020-02-15,Fresno,0.0,0.11633333333333334,10.5,20.4
2020-02-16,Fresno,0.0,0.115375,14.0,21.5
2020-02-17,Fresno,0.0,0.115,11.2,19.7
2020-02-18,Fresno,0.0,0.116875,10.4,21.0
2020-02-19,Fresno,0.0,0.11216666666666668,9.7,21.0
2020-02-20,Fresno,0.0,0.11629166666666667,10.9,23.1
2020-02-21,Fresno,0.1,0.11979166666666667,10.8,20.1
2020-02-22,Fresno,1.4,0.12433333333333334,16.6,19.7
2020-02-23,Fresno,0.0,0.135875,11.2,19.5
2020-02-24,Fresno,0.0,0.135,12.7,19.0
2020-02-25,Fresno,0.0,0.12975,9.7,22.9
2020-02-26,Fresno,0.0,0.12612500000000001,11.7,26.2
2020-02-27,Fresno,0.0,0.12004166666666666,10.2,25.9
2020-02-28,Fresno,0.0,0.12029166666666667,9.1,28.0
2020-02-29,Fresno,0.0,0.12341666666666666,22.9,24.2
2020-03-01,Fresno,0.0,0.12216666666666666,22.4,15.6
2020-03-02,Fresno,0.0,0.12233333333333334,9.7,18.4
2020-03-03,Fresno,0.0,0.12508333333333332,9.9,22.5
2020-03-04,Fresno,0.0,0.12804166666666666,10.0,25.5
2020-03-05,Fresno,0.0,0.1245,9.1,26.6
2020-03-06,Fresno,0.0,0.12208333333333332,14.8,25.5
2020-03-07,Fresno,0.0,0.11745833333333333,15.5,16.3
2020-03-08,Fresno,0.0,0.11229166666666668,12.9,18.2
2020-03-09,Fresno,0.0,0.10708333333333332,9.6,20.0
2020-03-10,Fresno,1.8,0.11241666666666666,21.6,19.0
2020-03-11,Fresno,4.5,0.15604166666666666,8.9,21.8
2020-03-12,Fresno,0.0,0.14366666666666666,10.9,24.5
2020-03-13,Fresno,0.1,0.13795833333333335,22.1,23.3
2020-03-14,Fresno,1.0,0.134375,22.8,17.4
2020-03-15,Fresno,6.8,0.14870833333333333,22.6,14.3
2020-03-16,Fresno,23.1,0.3040833333333333,17.1,10.9
2020-03-17,Fresno,0.3,0.33837500000000004,9.7,13.3
2020-03-18,Fresno,0.0,0.286875,15.2,14.8
2020-03-19,Fresno,7.8,0.28920833333333335,12.7,13.4
2020-03-20,Fresno,0.0,0.2609166666666667,10.1,17.1
2020-03-21,Fresno,0.6,0.2469583333333333,9.0,16.8
2020-03-22,Fresno,2.2,0.23345833333333332,9.9,20.0
2020-03-23,Fresno,9.1,0.30333333333333334,15.5,17.3
2020-03-24,Fresno,0.1,0.283375,14.0,16.4
2020-03-25,Fresno,5.7,0.2695,13.0,13.9
2020-03-26,Fresno,0.0,0.28783333333333333,13.6,13.8
2020-03-27,Fresno,0.2,0.2630416666666667,12.6,15.6
2020-03-28,Fresno,0.1,0.24975,11.3,14.6
2020-03-29,Fresno,0.8,0.24520833333333333,10.2,16.4
2020-03-30,Fresno,0.0,0.22975,9.0,19.9
2020-03-31,Fresno,0.0,0.211875,15.1,22.6
2020-04-01,Fresno,0.0,0.19258333333333333,20.7,20.6
2020-04-02,Fresno,0.0,0.17633333333333334,16.5,19.4
2020-04-03,Fresno,0.0,0.16116666666666668,13.4,20.4
2020-04-04,Fresno,0.0,0.14845833333333333,14.0,19.8
2020-04-05,Fresno,20.3,0.18733333333333335,27.5,15.9
2020-04-06,Fresno,14.0,0.35375,21.3,14.8
2020-04-07,Fresno,0.4,0.30258333333333337,12.7,18.1
2020-04-08,Fresno,7.6,0.31875000000000003,20.9,15.9
2020-04-09,Fresno,12.5,0.38199999999999995,21.5,15.6
2020-04-10,Fresno,0.0,0.32816666666666666,10.3,19.0
2020-04-11,Fresno,0.0,0.295375,9.6,19.9
2020-04-12,Fresno,0.0,0.26587500000000003,14.7,21.0
2020-04-13,Fresno,0.0,0.24304166666666668,11.8,22.8
2020-04-14,Fresno,0.0,0.2215,9.7,23.6
